,Area,BHK,Bathroom,Furnishing,Location,District,Locality,Parking,Status,Transaction,Type,Per_Sqft,Price
0,950.0,2,2.0,Furnished,Karol Bagh,Central Delhi,"DDA MIG Flats Prasad Nagar Phase 2, Prasad Nagar, Karol Bagh",1.0,Ready_to_move,Resale,Apartment,8761.0,12500000
1,535.0,2,1.0,Furnished,Karol Bagh,Central Delhi,"Dev Nagar, Karol Bagh",1.0,Ready_to_move,New_Property,Apartment,7290.0,3900000
2,1280.0,3,3.0,Furnished,Karol Bagh,Central Delhi,Karol Bagh,2.0,Ready_to_move,Resale,Builder_Floor,14092.0,15000000
3,1135.0,3,3.0,Furnished,Karol Bagh,Central Delhi,"The Amaryllis, Karol Bagh",2.0,Almost_ready,Resale,Apartment,22222.0,25000000
4,1135.0,3,3.0,Furnished,Karol Bagh,Central Delhi,"The Amaryllis, Karol Bagh",2.0,Almost_ready,Resale,Apartment,22222.0,25000000
5,1135.0,3,3.0,Furnished,Karol Bagh,Central Delhi,"The Amaryllis, Karol Bagh",2.0,Almost_ready,Resale,Apartment,14366.0,25000000
6,1135.0,3,3.0,Furnished,Karol Bagh,Central Delhi,"The Amaryllis, Karol Bagh",2.0,Almost_ready,Resale,Apartment,13324.0,24500000
7,900.0,3,2.0,Furnished,Okhla,East Delhi,"Abul Fazal Enclave Part-II, Okhla",1.0,Ready_to_move,Resale,Builder_Floor,16917.0,5500000
8,312.0,4,4.0,Furnished,Laxmi Nagar,East Delhi,"Bank Enclave, Laxmi Nagar",1.0,Ready_to_move,Resale,Apartment,112179.0,35000000
9,1500.0,3,3.0,Furnished,Vasundhara,East Delhi,"Capital Apartment, Vasundhara Enclave",2.0,Ready_to_move,Resale,Apartment,10000.0,15000000
10,1000.0,3,2.0,Furnished,Dilshad Garden,East Delhi,"DDA Flats Block A, Dilshad Garden",1.0,Ready_to_move,Resale,Apartment,9200.0,9200000
11,1700.0,3,2.0,Furnished,Dilshad Garden,East Delhi,"DDA Flats Block A, Dilshad Garden",1.0,Ready_to_move,Resale,Apartment,9200.0,17000000
12,1000.0,3,3.0,Furnished,Dilshad Garden,East Delhi,"DDA Pocket I, Dilshad Garden",1.0,Ready_to_move,Resale,Apartment,9500.0,9500000
13,900.0,2,2.0,Furnished,Dilshad Garden,East Delhi,"Dilshad Colony, Dilshad Garden",2.0,Ready_to_move,Resale,Builder_Floor,7666.0,6900000
14,500.0,2,1.0,Furnished,Dilshad Garden,East Delhi,Dilshad Garden,1.0,Ready_to_move,Resale,Apartment,12000.0,5800000
15,760.0,3,2.0,Furnished,Geeta Colony,East Delhi,Geeta Colony,1.0,Ready_to_move,Resale,Builder_Floor,6667.0,6000000
16,810.0,5,6.0,Furnished,Geeta Colony,East Delhi,Geeta Colony,1.0,Ready_to_move,Resale,Apartment,6667.0,28900000
17,976.0,2,2.0,Furnished,Okhla,East Delhi,"Godrej South Estate, Okhla",1.0,Ready_to_move,New_Property,Apartment,25512.0,24900000
18,976.0,2,2.0,Furnished,Okhla,East Delhi,"Godrej South Estate, Okhla",1.0,Ready_to_move,New_Property,Apartment,25512.0,24900000
19,1500.0,2,2.0,Furnished,Okhla,East Delhi,"Godrej South Estate, Okhla",2.0,Almost_ready,New_Property,Apartment,16466.0,24700000
20,976.0,2,2.0,Furnished,Okhla,East Delhi,"Godrej South Estate, Okhla",2.0,Almost_ready,New_Property,Apartment,25512.0,24900000
21,675.0,2,2.0,Furnished,Laxmi Nagar,East Delhi,Laxmi Nagar,2.0,Ready_to_move,Resale,Builder_Floor,32000.0,2400000
22,900.0,4,2.0,Furnished,Laxmi Nagar,East Delhi,Laxmi Nagar,1.0,Ready_to_move,Resale,Builder_Floor,32000.0,6600000
23,1000.0,3,3.0,Furnished,Laxmi Nagar,East Delhi,"Laxmi Nagar carpet area 1000 sqft status Ready to Move floor 1 out of 4 floors transaction Resale furnishing Furnished bathroom 3 balcony 1 It's a 1st floor Builder Floor Apartment in a building of total 4 floors. The age of construction for this Builder Floor Apartment is between 10 to 15 years. The location has easy access to, Dena Bank (0 km ), Delhi Convent School (0 km ), DDA Market (0 km ) and Nirman Vihar Metro Station (2 km ). read more Contact Owner View Phone No. Share Feedback Owner Vipul Jain",1.0,Ready_to_move,Resale,Builder_Floor,5666.0,12500000
24,1600.0,4,3.0,Furnished,Vasundhara,East Delhi,"Mangal Apartment, Vasundhara Enclave carpet area 1600 sqft status Ready to Move floor 4 out of 7 floors transaction Resale furnishing Furnished facing South - East overlooking Garden/Park, Main Road society Mangal Apartment car parking 1 Open bathroom 3 balcony 1 ownership Freehold Fully furnished , complete marble flooring, ready to move in. Contact Owner View Phone No. Share Feedback Owner Shailendra",1.0,Ready_to_move,Resale,Apartment,10838.0,20000000
25,1000.0,3,2.0,Furnished,Vasundhara,East Delhi,"Fancy Apartments, Vasundhara Enclave",2.0,Ready_to_move,Resale,Apartment,10838.0,12000000
26,400.0,2,1.0,Furnished,Vasundhara,East Delhi,Krishna Nagar Block A,1.0,Ready_to_move,New_Property,Apartment,6667.0,2500000
27,400.0,2,2.0,Furnished,Vasundhara,East Delhi,"mind. The space is airy, is well located and can be easily customized as per the needs. Prime facilities are easily accessible from this place with Government Girls Senior Secondary School No 2 (0 km ). Other key neighbourhood are B Block Market (0 km ). read more Contact Owner View Phone No. Share Feedback Owner vinod kumar",1.0,Ready_to_move,Resale,Builder_Floor,14550.0,9000000
28,1450.0,3,2.0,Furnished,Vasundhara,East Delhi,"Satyam Apartment, Vasundhara Enclave",1.0,Ready_to_move,Resale,Apartment,9655.0,14000000
29,750.0,3,2.0,Furnished,Okhla,East Delhi,"Sukhdev Vihar, Okhla",2.0,Ready_to_move,Resale,Apartment,16917.0,13500000
30,1300.0,3,3.0,Furnished,Vasundhara,East Delhi,Vasundhara Enclave,1.0,Ready_to_move,Resale,Apartment,10838.0,9200000
31,900.0,2,1.0,Furnished,Budh Vihar,North West Delhi,Budh Vihar,1.0,Ready_to_move,Resale,Apartment,10838.0,11000000
32,450.0,1,1.0,Furnished,Budh Vihar,North West Delhi,Budh Vihar,1.0,Ready_to_move,Resale,Builder_Floor,4444.0,2000000
33,400.0,1,1.0,Furnished,Budh Vihar,North West Delhi,Budh Vihar,1.0,Ready_to_move,Resale,Builder_Floor,4000.0,2000000
34,729.0,3,4.0,Furnished,Budh Vihar,North West Delhi,Budh Vihar,1.0,Ready_to_move,Resale,Builder_Floor,3567.0,2600000
35,450.0,2,2.0,Furnished,Budh Vihar,North West Delhi,Budh Vihar,1.0,Ready_to_move,Resale,Builder_Floor,2500.0,4000000
36,100.0,3,2.0,Furnished,Budh Vihar,North West Delhi,Budh Vihar Phase 1,1.0,Ready_to_move,New_Property,Builder_Floor,43000.0,4300000
37,4050.0,6,3.0,Furnished,Budh Vihar,North West Delhi,Budh Vihar Phase 1,1.0,Ready_to_move,Resale,Builder_Floor,1259.0,5100000
38,666.0,1,2.0,Furnished,Budh Vihar,North West Delhi,Budh Vihar Phase 1,1.0,Ready_to_move,Resale,Builder_Floor,5255.0,3500000
39,2400.0,6,4.0,Furnished,Budh Vihar,North West Delhi,Budh Vihar Phase 2,1.0,Ready_to_move,Resale,Builder_Floor,2500.0,6000000
40,405.0,2,3.0,Furnished,Budh Vihar,North West Delhi,Budh Vihar Phase 2,1.0,Ready_to_move,Resale,Builder_Floor,2500.0,6200000
41,950.0,2,2.0,Furnished,Rohini,North West Delhi,"Citizen Apartment, Rohini Sector 13",1.0,Ready_to_move,Resale,Apartment,6667.0,15500000
42,450.0,1,1.0,Furnished,Narela,North West Delhi,"DDA Flats Pocket 6 Sector A10, Narela",2.0,Ready_to_move,Resale,Apartment,4889.0,2200000
43,452.0838,2,1.0,Furnished,Narela,North West Delhi,"DDA Flats Pocket 6 Sector A10, Narela",1.0,Ready_to_move,Resale,Apartment,6636.0,3000000
44,437.0,1,1.0,Furnished,Narela,North West Delhi,"DDA Lig Flats, Narela",1.0,Ready_to_move,New_Property,Apartment,4270.0,3500000
45,559.7228,2,2.0,Furnished,Narela,North West Delhi,Narela,3.0,Ready_to_move,Resale,Apartment,5092.0,2850000
46,990.0,3,2.0,Furnished,Narela,North West Delhi,Narela,1.0,Ready_to_move,Resale,Builder_Floor,5051.0,5000000
47,198.0,1,1.0,Furnished,Narela,North West Delhi,Narela Sector A5,1.0,Ready_to_move,Resale,Apartment,5051.0,1000000
48,430.556,1,1.0,Furnished,Rohini,North West Delhi,"Rohini Sector 18 carpet area 40 sqm status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Furnished facing East overlooking Main Road car parking 2 Open bathroom 1 balcony 1 ownership Freehold East Facing Property It an LIG three side corner flat in second floor, having full scope of expansion. interior decorated with 2 textured wall , kajaria tiles , fully modular kitchen, branded bathroom and toilet fittings, LED panel, ac in one bedroom, false ceiling in entire flat.south facing unobstructed view balcony. It was all renovated only 2.5 yrs back so every thing is in brand new condition. read more Contact Owner View Phone No. Share Feedback Owner Pramod",2.0,Ready_to_move,Resale,Apartment,6154.0,5300000
49,2160.0,4,4.0,Furnished,Rohini,North West Delhi,Rohini Sector 19,1.0,Ready_to_move,New_Property,Builder_Floor,9722.0,21000000
50,1100.0,3,3.0,Furnished,Rohini,North West Delhi,Rohini Sector 20,1.0,Ready_to_move,New_Property,Builder_Floor,6364.0,7000000
51,1030.0,3,2.0,Furnished,Rohini,North West Delhi,Rohini Sector 20,1.0,Ready_to_move,New_Property,Builder_Floor,5255.0,6200000
52,28.0,2,2.0,Furnished,Rohini,North West Delhi,Rohini Sector 25,1.0,Ready_to_move,New_Property,Apartment,8750.0,5000000
53,850.0,2,2.0,Furnished,Shahdara,Shahdara,"Jyoti Colony, Shahdara",1.0,Ready_to_move,Resale,Builder_Floor,3901.0,4500000
54,850.0,2,2.0,Furnished,Shahdara,Shahdara,"Jyoti Colony, Shahdara",1.0,Ready_to_move,Resale,Builder_Floor,12500.0,4500000
55,1800.0,4,3.0,Furnished,Shahdara,Shahdara,"Kanti Nagar East, Shahdara",1.0,Ready_to_move,Resale,Builder_Floor,19444.0,35000000
56,1300.0,4,3.0,Furnished,Shahdara,Shahdara,"Mansarowar Park, Shahdara",1.0,Ready_to_move,New_Property,Builder_Floor,3901.0,11500000
57,1053.0,3,2.0,Furnished,Shahdara,Shahdara,"Naveen Shahdara, Shahdara",4.0,Ready_to_move,Resale,Builder_Floor,41304.0,7000000
58,1530.0,5,2.0,Furnished,Shahdara,Shahdara,"Raghubarpura, Shahdara",1.0,Ready_to_move,Resale,Builder_Floor,6667.0,10200000
59,1800.0,4,2.0,Furnished,Shahdara,Shahdara,"Rajgarh Colony, Shahdara",1.0,Ready_to_move,Resale,Builder_Floor,9722.0,17500000
60,1000.0,3,2.0,Furnished,Shahdara,Shahdara,"Rohitash Nagar East, Shahdara",1.0,Ready_to_move,Resale,Builder_Floor,10838.0,5650000
61,1650.0,4,3.0,Furnished,Shahdara,Shahdara,Shahdara,1.0,Almost_ready,New_Property,Apartment,3901.0,14000000
62,495.1394,1,1.0,Furnished,Shahdara,Shahdara,Shahdara,1.0,Ready_to_move,Resale,Builder_Floor,41304.0,1900000
63,1650.0,4,3.0,Furnished,Shahdara,Shahdara,Shahdara,1.0,Almost_ready,New_Property,Apartment,6667.0,14000000
64,900.0,4,1.0,Furnished,Shahdara,Shahdara,"Shastri Park, Shahdara",1.0,Ready_to_move,Resale,Apartment,6667.0,15000000
65,1017.0,2,2.0,Furnished,Shahdara,Shahdara,"Vishwas Nagar, Shahdara",1.0,Ready_to_move,New_Property,Builder_Floor,6526.0,6500000
66,540.0,2,1.0,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1.0,Ready_to_move,New_Property,Apartment,5000.0,2700000
67,747.0,2,2.0,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1.0,Ready_to_move,Resale,Builder_Floor,8701.0,6500000
68,504.0,2,1.0,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1.0,Ready_to_move,Resale,Builder_Floor,5357.0,2700000
69,850.0,3,2.0,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1.0,Ready_to_move,Resale,Builder_Floor,6706.0,5700000
70,2430.0,4,3.0,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1.0,Ready_to_move,Resale,Builder_Floor,10288.0,25000000
71,2475.0,3,3.0,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1.0,Ready_to_move,Resale,Builder_Floor,28283.0,70000000
72,2970.0,7,4.0,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1.0,Ready_to_move,Resale,Builder_Floor,8923.0,26500000
73,2250.0,3,2.0,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1.0,Ready_to_move,Resale,Builder_Floor,8222.0,18500000
74,1500.0,5,3.0,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1.0,Ready_to_move,Resale,Builder_Floor,20000.0,30000000
75,1512.0,2,2.0,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1.0,Ready_to_move,Resale,Builder_Floor,14550.0,22000000
76,2160.0,3,3.0,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1.0,Ready_to_move,Resale,Builder_Floor,30093.0,65000000
77,630.0,3,2.0,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1.0,Ready_to_move,Resale,Builder_Floor,35714.0,22500000
78,324.0,6,3.0,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1.0,Ready_to_move,Resale,Builder_Floor,35714.0,8700000
79,720.0,6,5.0,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1.0,Ready_to_move,Resale,Builder_Floor,35714.0,22000000
